MUSIC | clu_entrance.wav | dummy
open2.png         | SYSTEM | CHAPTER 4: THE ENFORCER
c4kevinchase.png         | KEVIN | CLU, listen to me! You don't have to do this. We can rewrite the code together!
SAME                 | KEVIN | Stop the ship!
SAME  | SYSTEM | *Kevin flying the jet*
c4Rinzlerappear.jpg    | CLU 2.0| The time for negotiation is over, Flynn.
SAME  | KEVIN | CLU!
MUSIC | rinzler_two.wav | dummy
c4Rinzlercrash.gif    | KEVIN | Where did he come from?!
c4crash.jpg   | SYSTEM | *Kevin’s jet crashes into the ground*
c4Rinzler.jpg    | SYSTEM | *Rinzler walks out of his jet*
c4kevinvRinzler.jpg   | KEVIN | Brought another friend, huh.
