MUSIC | final.wav | dummy
kevinbaton.jpg       | KEVIN | Yeah, you're right, i should kill you.
SAME | KEVIN | BUT I'LL WIN CLU, GET IT RIGHT! 
kevinkill        | CLU | AAAHHHHHHH!!!
SAME | KEVIN | I will never be a failure.
cludead.jpg  | KEVIN | Now stay down
cludeaddead.jpg      | CLU | Uhh...Ke....Kevin...
glitchclu.jpg         | SYSTEM | *CLU glitching*
SAME | KEVIN | Huh...?
itstron.jpg     | TRON  | Kev...Kevin...W..W...Why..
SAME      | KEVIN | Tron...?
SAME      | KEVIN | TRON!!!
ohnoitstron.jpg     | KEVIN | Oh my god, Tron. I'm so sorry. What happened?
SAME | TRON | He...he had us all along...
ship.jpg | SYSTEM | *Crash site*
shipglitch.jpg | TRON | He...he created a ho...hologram of me.
tronship.jpg | KEVIN | Oh no...I'm so sorry, Tron.
ohnoitstron.jpg | TRON | Don't...it's too...late.
byetron.jpg | KEVIN | TRON!!!!!
progress100.jpg | SYSTEM | *INTEGRATION COMPLETE*
SAME | CLU | I told you, Kevin
clucreator.jpg | CLU | This time I'll win 
SAME | CLU | I...
kevinloser.jpg | CLU | AM...
SAME | CLU | THE...
clucreator.jpg | CLU | CREATOR
c5end.png | SYSTEM  | CHAPTER 5: THE CREATOR END
