c5CLUderezz.jpg       | CLU | You are a fail...failure.
SAME        | SYSTEM | *CLU is derezzed*
c5kevinrun.jpg      | SYSTEM | *Kevin picks up the shard*
c5shard.jpg         | SYSTEM | *Kevin inputs the code into the incubator*
c5progress.jpg  | KEVIN | There's still time.
c5return.jpg     | SYSTEM  | *Kevin rushes back to the control room*
c5gridsafe.jpg      | SYSTEM | GRID SECURED
c5portal.jpg     | SYSTEM | *Kevin enters the portal*
c5home.jpg| KEVIN | *sigh*
c5sam.jpg       | SAM    | Dad?
SAME                 | SAM    | You were gone just now...
SAME | KEVIN  | Yeah... yeah, I was, kiddo. But I'm back. Like I said...
c5end.png | SYSTEM  | CHAPTER 5: THE CREATOR END
